,Unnamed: 0,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00.6,Id
0,0,480,245,424,242,733,58,600,822,8804,6687,23739,21117,14840,20882,16793,4555,22090,23678,18468,15814,9859,7203,2791,4485,condition
1,0,1532,1535,546,270,5704,9447,28610,19627,24468,30029,43085,19955,19048,30845,23816,29557,23204,15980,9892,8865,2279,24152,1160,1537,condition
2,0,4408,2075,480,480,480,480,480,480,485,19090,30306,15567,19259,23582,26507,62600,36530,40782,19567,10192,19797,33566,14499,19681,condition
3,0,2220,423,203,28,569,388,11980,17591,16399,22316,7254,5525,18706,22042,8224,9726,13633,4575,22695,33011,25630,46288,39667,8929,condition
4,0,4835,3959,6457,807,1710,360,532,544,949,9951,5784,9262,9736,29579,41204,62282,15433,806,14013,15777,8858,6839,16246,11040,condition
5,0,4594,175,612,192,705,950,307,17239,14846,6839,39950,17948,5718,27877,24820,26181,2735,5547,10942,30557,6484,4104,6206,11572,condition
6,0,1068,917,606,676,596,34090,17938,14812,28039,33920,33915,31508,34775,28736,18529,21393,560,688,1327,11248,10405,17734,11928,14132,condition
7,0,1386,818,2135,974,241,1026,1812,688,1343,3193,17975,12786,6624,43606,8194,34133,31975,24406,35533,25412,19397,13320,28790,2130,condition
8,0,2882,871,411,2840,1243,506,1093,11200,21471,25424,35718,9398,3343,3363,3472,5402,12234,16475,15489,10836,10545,19962,8731,6113,condition
9,0,959,328,1629,641,440,548,346,12782,31878,24143,44077,27259,48346,48595,33069,37756,41776,48462,66345,45954,31324,26594,36162,750,condition
10,0,4126,135,258,816,602,465,6962,251,299,2538,345,865,224,23699,20138,33358,8707,10556,1501,25936,25566,5649,1337,9466,condition
11,0,706,2978,662,47,383,643,4018,5668,4839,3091,2924,160,11322,13017,15998,14796,9576,22022,4951,11075,7570,17972,10805,12628,condition
12,0,304,606,316,2275,4103,16187,14692,8681,1295,1176,42822,32274,38660,32159,22504,25932,28933,11738,26836,25244,25728,15069,22032,14797,condition
13,0,112,340,10844,14721,8324,6310,26737,16852,5452,589,44674,8817,28728,7114,9597,2464,2015,0,2952,5207,3079,414,1256,0,condition
14,0,1078,224,1091,209,810,676,1440,43040,26806,12270,11314,13869,7454,9881,8068,14438,14989,10289,24621,12819,10560,14107,4088,5281,condition
15,0,185,65,233,435,34,110,97,516,17279,6196,57723,62498,38441,60094,61323,53911,35782,33634,23551,4969,23026,6671,3486,23938,condition
16,0,10407,813,383,897,581,314,604,383,30,1682,9668,7048,14043,8588,10495,10873,7506,10807,9489,3672,1875,4451,2211,4848,condition
17,0,2732,5053,4862,4617,1969,633,2151,1670,2427,2457,190,97,2828,7979,2184,6694,3415,7698,4454,5123,4959,2672,95,82,condition
18,0,122,280,399,607,284,580,9617,8456,6791,6327,18615,21928,13581,19917,28442,19867,12910,7818,10029,9269,7009,7239,2955,5624,condition
19,0,0,0,69,163,535,340,518,260,2345,6019,9252,6748,14405,1704,16830,6879,2596,4825,13817,6908,1076,7168,793,1088,condition
20,0,155,145,354,126,124,120,624,241,804,13,17876,26647,10151,2324,26545,458,296,396,721,10927,390,1838,3121,8,condition
21,0,804,1335,126,4253,1318,926,1901,4419,654,210,0,2044,13227,15406,19243,20727,19228,18710,11033,18247,15582,16356,9316,389,condition
22,0,511,2325,580,2808,0,1677,307,3043,1769,2015,15480,20108,26477,27766,42622,16658,388,562,24221,24274,12866,12158,7207,30018,condition
